연번,지번주소,도로명 주소,위도,경도
115,서울특별시 강남구 일원1동 628,서울특별시 강남구 개포로128길 25 (일원동),37.4935356354,127.0840303248
116,서울특별시 강남구 일원1동 625-25,서울특별시 강남구 개포로124길 19 (일원동),37.4934777427,127.0832071524
117,서울특별시 강남구 일원1동 623-10,"서울특별시 강남구 개포로124길 22 (일원동, 다세대주택)",37.4933493917,127.0828903872
118,서울특별시 강남구 일원1동 642-10,서울특별시 강남구 일원로3길 92 (일원동),37.4932237999,127.0866456143
119,서울특별시 강남구 일원1동 620-10 (2),"서울특별시 강남구 개포로116길 19 (일원동, 우미아이에스빌)",37.4930254841,127.0818502671
120,서울특별시 강남구 일원1동 619,서울특별시 강남구 개포로 626 (일원동),37.4940372841,127.0813730404
121,서울특별시 강남구 일원1동 629,"서울특별시 강남구 개포로118길 50 (일원동, 다세대주택)",37.4944857029,127.0835844920
122,서울특별시 강남구 일원1동 629-1,서울특별시 강남구 개포로130길 6 (일원동),37.4945566855,127.0837354217
123,서울특별시 강남구 일원1동 639-5,서울특별시 강남구 개포로 666 (일원동),37.4953270728,127.0853350428
124,서울특별시 강남구 일원1동 637-6,서울특별시 강남구 개포로136길 33 (일원동),37.4936940621,127.0858686189
125,서울특별시 강남구 일원1동 636,"서울특별시 강남구 개포로138길 36-15 (일원동, 다세대주택)",37.4932372504,127.0852481947
126,서울특별시 강남구 일원1동 648-7,"서울특별시 강남구 양재대로53길 23 (일원동, 골든빌)",37.4921405552,127.0868420229
127,서울특별시 강남구 일원1동 646-5,"서울특별시 강남구 일원로9길 71 (일원동, 다세대주택)",37.4911636898,127.0873221445
128,서울특별시 강남구 일원1동 646-5,"서울특별시 강남구 일원로9길 71 (일원동, 다세대주택)",37.4911636898,127.0873221445
129,서울특별시 강남구 일원1동 652-1,"서울특별시 강남구 양재대로51길 15-3 (일원동, 한차임)",37.4918177280,127.0868370129
130,서울특별시 강남구 일원1동 661-3,서울특별시 강남구 양재대로45길 15 (일원동),37.4912405913,127.0852862938
131,서울특별시 강남구 일원1동 659-1,서울특별시 강남구 양재대로47길 13 (일원동),37.4911962839,127.0857534747
132,서울특별시 강남구 일원1동 657-6,서울특별시 강남구 양재대로47길 25 (일원동),37.4917455427,127.0854982091
133,서울특별시 강남구 일원1동 657-7,서울특별시 강남구 양재대로45길 22 (일원동),37.4917016870,127.0853413212
134,서울특별시 강남구 일원1동 671-5,"서울특별시 강남구 양재대로39길 25 (일원동, 삼삼빌4차)",37.4918177280,127.0868370129
135,서울특별시 강남구 일원1동 678-4,서울특별시 강남구 양재대로35길 19 (일원동),37.4909075723,127.0830188568
136,서울특별시 강남구 일원1동 675,서울특별시 강남구 양재대로35길 16 (일원동),37.4908124860,127.0833174977
137,서울특별시 강남구 일원1동 680-8,"서울특별시 강남구 양재대로35길 11 (일원동, 다세대주택)",37.4903825302,127.0833105748
138,서울특별시 강남구 일원1동 676-5,서울특별시 강남구 양재대로35길 20 (일원동),37.4909766854,127.0832665697
139,서울특별시 강남구 일원본동 720-3,서울특별시 강남구 광평로9길 13 (일원동),37.4836450660,127.0795151918
140,서울특별시 강남구 일원본동 723-3,서울특별시 강남구 광평로7길 3 (일원동),37.4829946507,127.0792131871
141,서울특별시 강남구 일원본동 726-4,서울특별시 강남구 광평로3길 4 (일원동),37.4829205521,127.0785919361
142,서울특별시 강남구 일원본동 729-11,서울특별시 강남구 광평로1길 3 (일원동),37.4829100740,127.0778151766
143,서울특별시 강남구 일원본동 729-8,서울특별시 강남구 광평로1길 9 (일원동),37.4831965454,127.0777531753
144,서울특별시 강남구 일원본동 728-5,서울특별시 강남구 광평로1길 14 (일원동),37.4834428899,127.0780131400
